name;twitter_name;group;natparty;country;twitter_id
dr hab. Magdalena ADAMOWICZ;Adamowicz_Magda;Group of the European People's Party (Christian Democrats);Independent;Poland;1100499396041625601
Asim ADEMOV;AdemovAsim;Group of the European People's Party (Christian Democrats);Citizens for European Development of Bulgaria;Bulgaria;907625645773086720
Isabella ADINOLFI;Isa_Adinolfi;Non-attached Members;Movimento 5 Stelle;Italy;2195622679
Matteo ADINOLFI;adinolfi_matteo;Identity and Democracy Group;NA;Italy;1124950201523941376
Alex AGIUS SALIBA;alexagiussaliba;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partit Laburista;Malta;91314199
Clara AGUILERA;ClaraAguilera7;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;939966774
Scott AINSLIE;ScottMEPLondon;Group of the Greens/European Free Alliance;Green Party;United Kingdom;1301100498
François ALFONSI;F_Alfonsi;Group of the Greens/European Free Alliance;Régions et Peuples Solidaires;France;60264136
Christian ALLARD;Christia_Allard;Group of the Greens/European Free Alliance;Scottish National Party;United Kingdom;932563111
Andris AMERIKS;AndrisAmeriks;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;"""Saskaņa"" sociāldemokrātiskā partija";Latvia;102979056
Martina ANDERSON;M_AndersonSF;Confederal Group of the European United Left - Nordic Green Left;Sinn Fein;United Kingdom;192877061
Rasmus ANDRESEN;RasmusAndresen;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;16606874
Eric ANDRIEU;EricAndrieuEU;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Parti socialiste;France;415475621
Nikos ANDROULAKIS;androulakisnick;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;PASOK-KINAL;Greece;581103570
Gerolf ANNEMANS;gannemans;Identity and Democracy Group;Vlaams Belang;Belgium;145252665
Andrus ANSIP;Ansip_EU;Renew Europe Group;Eesti Reformierakond;Estonia;2803587655
Attila ARA-KOVÁCS;AraKovacs;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Demokratikus Koalíció;Hungary;2226678240
Maria ARENA;Mariearenaps;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Parti Socialiste;Belgium;143828745
Pascal ARIMONT;pascal_arimont;Group of the European People's Party (Christian Democrats);Christlich Soziale Partei;Belgium;3393988786
Bartosz ARŁUKOWICZ;Arlukowicz;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;101561338
Clotilde ARMAND;clotilde_armand;Renew Europe Group;Uniunea Salvați România;Romania;708168822868418560
Anna-Michelle ASIMAKOPOULOU;AnnaAsimakopoul;Group of the European People's Party (Christian Democrats);Nea Demokratia;Greece;533041104
Manon AUBRY;ManonAubryFr;Confederal Group of the European United Left - Nordic Green Left;La France Insoumise;France;2850651695
Margrete AUKEN;MargreteAuken;Group of the Greens/European Free Alliance;Socialistisk Folkeparti;Denmark;37643162
Petras AUŠTREVIČIUS;petras_petras;Renew Europe Group;Lietuvos Respublikos liberalų sąjūdis;Lithuania;1314652063
Carmen AVRAM;carmenavram;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partidul Social Democrat;Romania;26862888
Malik AZMANI;MalikAzmani;Renew Europe Group;Volkspartij voor Vrijheid en Democratie;Netherlands;389687289
Simona BALDASSARRE;SR_Baldassarre;Identity and Democracy Group;Lega;Italy;1124948208457797632
Marek Paweł BALT;PoselBalt;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sojusz Lewicy Demokratycznej;Poland;1105362661
Jordan BARDELLA;J_Bardella;Identity and Democracy Group;Rassemblement national;France;1499400284
Katarina BARLEY;katarinabarley;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;4097559143
Pietro BARTOLO;bartolopietro1;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;780024711510130689
Traian BĂSESCU;tbasescu;Group of the European People's Party (Christian Democrats);Partidul Mișcarea Populară;Romania;80913434
Alessandra BASSO;alebassoMEP;Identity and Democracy Group;Lega;Italy;1125036710222532608
José Ramón BAUZÁ DÍAZ;JRBauza;Renew Europe Group;Ciudadanos – Partido de la Ciudadanía;Spain;117705468
Nicolas BAY;NicolasBay_;Identity and Democracy Group;Rassemblement national;France;2443718293
Catherine BEARDER;catherinemep;Renew Europe Group;Liberal Democrats;United Kingdom;454779231
Nicola BEER;nicolabeerfdp;Renew Europe Group;Freie Demokratische Partei;Germany;828623998921629696
Tiziana BEGHIN;beghin_t;Non-attached Members;Movimento 5 Stelle;Italy;2343845391
Aurelia BEIGNEUX;AureliaBeigneux;Identity and Democracy Group;Rassemblement national;France;491560128
Marek BELKA;profMarekBelka;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sojusz Lewicy Demokratycznej;Poland;1107063220307746816
François-Xavier BELLAMY;fxbellamy;Group of the European People's Party (Christian Democrats);Les Républicains;France;261860968
Brando BENIFEI;brandobenifei;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;87306292
Isabel BENJUMEA BENJUMEA;IsabelBenjumea;Group of the European People's Party (Christian Democrats);Partido Popular;Spain;567222705
Phil BENNION;PhilBennion;Renew Europe Group;Liberal Democrats;United Kingdom;615011876
Monika BEŇOVÁ;MonikaFlaBenova;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;SMER-Sociálna demokracia;Slovakia;1361319566
Hildegard BENTELE;hildebentele;Group of the European People's Party (Christian Democrats);Christlich Demokratische Union Deutschlands;Germany;2429391577
Tom BERENDSEN;tbwberendsen;Group of the European People's Party (Christian Democrats);Christen Democratisch Appèl;Netherlands;276687941
Lars Patrick BERG;LarsPatrickBerg;Identity and Democracy Group;Alternative für Deutschland;Germany;968841871555465217
Stefan BERGER;DrStefanBerger;Group of the European People's Party (Christian Democrats);Christlich Demokratische Union Deutschlands;Germany;46128473
Erik BERGKVIST;erik_bergkvist;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Arbetarepartiet- Socialdemokraterna;Sweden;720567963
Silvio BERLUSCONI;berlusconi;Group of the European People's Party (Christian Democrats);Forza Italia;Italy;920277002858500096
Robert BIEDROŃ;BiedronRobert;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Wiosna;Poland;637192969
Adam BIELAN;AdamBielan;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;40022142
Stéphane BIJOUX;StephaneBIJOUX;Renew Europe Group;La République en marche;France;1083411992
Izaskun BILBAO BARANDICA;IzaskunBilbaoB;Renew Europe Group;Partido Nacionalista Vasco;Spain;1870872692
Vladimír BILČÍK;VladoBilcik;Group of the European People's Party (Christian Democrats);SPOLU – občianska demokracia;Slovakia;3129707609
Dominique BILDE;DominiqueBilde;Identity and Democracy Group;Rassemblement national;France;3065992036
Gabriele BISCHOFF;gabischoff;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;3541939462
Benoît BITEAU;Identi_Terre;Group of the Greens/European Free Alliance;Europe Écologie;France;601028185
Mara BIZZOTTO;marabizzotto;Identity and Democracy Group;Lega;Italy;890601120040615936
Malin BJÖRK;MalinBjork_EU;Confederal Group of the European United Left - Nordic Green Left;Vänsterpartiet;Sweden;2289930074
Vasile BLAGA;SenatulRomaniei;Group of the European People's Party (Christian Democrats);Partidul Naţional Liberal;Romania;760696944
Michael BLOSS;michabl;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;20344328
Andrea BOCSKOR;AndreaBocskor;Group of the European People's Party (Christian Democrats);Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Hungary;871783295813660677
Damian BOESELAGER;d_boeselager;Group of the Greens/European Free Alliance;Volt;Germany;832097871893770240
Franc BOGOVIČ;Franc_Bogovic;Group of the European People's Party (Christian Democrats);Slovenska ljudska stranka;Slovenia;2803444640
Manuel BOMPARD;mbompard;Confederal Group of the European United Left - Nordic Green Left;La France Insoumise;France;250323361
Simona BONAFÈ;simonabonafe;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;391945446
Paolo BORCHIA;PaoloBorchia;Identity and Democracy Group;Lega;Italy;2585792659
Biljana BORZAN;BiljanaBorzan;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Socijaldemokratska partija Hrvatske;Croatia;1560926802
Marc BOTENGA;BotengaM;Confederal Group of the European United Left - Nordic Green Left;Parti du Travail de Belgique;Belgium;1055950916
Vlad-Marius BOTOȘ;botos_vlad;Renew Europe Group;Uniunea Salvați România;Romania;1140322449038483464
Geert BOURGEOIS;GeertBourgeois;European Conservatives and Reformists Group;Nieuw-Vlaamse Alliantie;Belgium;994821734
Gilles BOYER;GillesBoyer;Renew Europe Group;Indépendant;France;102948151
Patrick BREYER;echo_pbreyer;Group of the Greens/European Free Alliance;Piratenpartei Deutschland;Germany;993792060548435968
Saskia BRICMONT;bricmontsaskia;Group of the Greens/European Free Alliance;Ecologistes Confédérés pour l'Organisation de Luttes Originales;Belgium;29032586
Jane BROPHY;JaneBrophyLD;Renew Europe Group;Liberal Democrats;United Kingdom;4099573113
Joachim Stanisław BRUDZIŃSKI;jbrudzinski;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;114159548
Sylvie BRUNET;syl_brunet;Renew Europe Group;Liste Rennaisance;France;4909186157
Klaus BUCHNER;Dr_KlausBuchner;Group of the Greens/European Free Alliance;Ökologisch-Demokratische Partei;Germany;2257770468
Daniel BUDA;MEPDanielBuda;Group of the European People's Party (Christian Democrats);Partidul Naţional Liberal;Romania;3833423967
David BULL;drdavidbull;Non-attached Members;The Brexit Party;United Kingdom;22464893
Udo BULLMANN;UdoBullmann;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;2461432297
Jonathan BULLOCK;JonathanMEP;Non-attached Members;The Brexit Party;United Kingdom;894914855467180037
Judith BUNTING;JudithBuntingLD;Renew Europe Group;Liberal Democrats;United Kingdom;566536507
Delara BURKHARDT;delarabur;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;1133570430
Martin BUSCHMANN;BuschmannMartin;Confederal Group of the European United Left - Nordic Green Left;Partei Mensch Umwelt Tierschutz;Germany;1041644034849103872
Reinhard BÜTIKOFER;bueti;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;20610385
Jorge BUXADÉ VILLALBA;Jorgebuxade;European Conservatives and Reformists Group;VOX;Spain;154110601
Jerzy BUZEK;JerzyBuzek;Group of the European People's Party (Christian Democrats);Koalicja Europejska;Poland;104782747
Carlo CALENDA;CarloCalenda;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;2416067982
Marco CAMPOMENOSI;MCampomenosi;Identity and Democracy Group;Lega;Italy;1118030533219508225
Jordi CAÑAS;jordi_canyas;Renew Europe Group;Ciudadanos – Partido de la Ciudadanía;Spain;173541298
Pascal CANFIN;pcanfin;Renew Europe Group;Liste Rennaisance;France;135430876
Damien CARÊME;DamienCAREME;Group of the Greens/European Free Alliance;Europe Écologie;France;115702103
Andrea CAROPPO;caroppo_andrea;Identity and Democracy Group;Lega;Italy;1117008833715556353
Matt CARTHY;mattcarthy;Confederal Group of the European United Left - Nordic Green Left;Sinn Féin;Ireland;26586771
Maria Da Graça CARVALHO;mgracacarvalho;Group of the European People's Party (Christian Democrats);Partido Social Democrata;Portugal;30360274
David CASA;DavidCasaMEP;Group of the European People's Party (Christian Democrats);Partit Nazzjonalista;Malta;2279351990
Daniel CASPARY;caspary;Group of the European People's Party (Christian Democrats);Christlich Demokratische Union Deutschlands;Germany;17780822
Fabio Massimo CASTALDO;FMCastaldo;Non-attached Members;Movimento 5 Stelle;Italy;1368850908
Pilar del CASTILLO VERA;delcastillop;Group of the European People's Party (Christian Democrats);Partido Popular;Spain;52009223
Anna CAVAZZINI;anna_cavazzini;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;833300465039319040
Susanna CECCARDI;SusannaCeccardi;Identity and Democracy Group;Lega;Italy;406110645
Sara CERDAS;sara_saracerdas;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista;Portugal;625048553
Catherine CHABAUD;CathChabaud;Renew Europe Group;Liste Rennaisance;France;2292781046
Mohammed CHAHIM;MChahim;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partij van de Arbeid;Netherlands;91821215
Leila CHAIBI;leilachaibi;Confederal Group of the European United Left - Nordic Green Left;La France Insoumise;France;232353334
Dita CHARANZOVÁ;charanzova;Renew Europe Group;ANO 2011;Czechia;2656533409
Olivier CHASTEL;OChastel;Renew Europe Group;Mouvement Réformateur;Belgium;138689410
Caterina CHINNICI;CaterinaChinnic;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;2262477443
Ellie CHOWNS;EllieChownsMEP;Group of the Greens/European Free Alliance;Green Party;United Kingdom;493494710
Asger CHRISTENSEN;AsgerChristens2;Renew Europe Group;Venstre, Danmarks Liberale Parti;Denmark;1089972461008023553
Lefteris CHRISTOFOROU;LefChristoforou;Group of the European People's Party (Christian Democrats);Democratic Rally;Cyprus;4022826012
Angelo CIOCCA;AngeloCiocca;Identity and Democracy Group;Lega;Italy;493153944
Dacian CIOLOS;CiolosDacian;Renew Europe Group;Partidul Libertate, Unitate și Solidaritate;Romania;4171877789
Nathalie COLIN-OESTERLÉ;ncolin_oesterle;Group of the European People's Party (Christian Democrats);Les centristes;France;326931834
Gilbert COLLARD;GilbertCollard;Identity and Democracy Group;Rassemblement national;France;471163803
Richard CORBETT;RCorbettMEP;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Labour Party;United Kingdom;1347250338
David CORMAND;DavidCormand;Group of the Greens/European Free Alliance;Europe Écologie;France;525436041
Ignazio CORRAO;ignaziocorrao;Non-attached Members;Movimento 5 Stelle;Italy;143393223
Andrea COZZOLINO;cozzolino62;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;467604110
Corina CREȚU;CorinaCretuEU;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;PRO Romania;Romania;1586266080
Katalin CSEH;katka_cseh;Renew Europe Group;Momentum;Hungary;3001691374
Ciarán CUFFE;CiaranCuffe;Group of the Greens/European Free Alliance;Green Party;Ireland;16627544
Josianne CUTAJAR;josiannecutajar;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partit Laburista;Malta;1023896861470547968
Ryszard CZARNECKI;r_czarnecki;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;77188782
Peter van DALEN;petervdalen;Group of the European People's Party (Christian Democrats);ChristenUnie;Netherlands;198432070
Miriam DALLI;Miriamdalli;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partit Laburista;Malta;55207471
Clare DALY;ClareDalyMEP;Confederal Group of the European United Left - Nordic Green Left;Independent;Ireland;385326089
Rosa D'AMATO;rosadamato634;Non-attached Members;Movimento 5 Stelle;Italy;2680186468
Seb DANCE;SebDance;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Labour Party;United Kingdom;45360352
Johan DANIELSSON;johandanielsson;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Arbetarepartiet- Socialdemokraterna;Sweden;18765850
Arnaud DANJEAN;ArnaudDanjean;Group of the European People's Party (Christian Democrats);Les Républicains;France;439463212
Gianantonio DA RE;GianantonioDaRe;Identity and Democracy Group;Lega;Italy;953626315617337344
Martin Edward DAUBNEY;MartinDaubney;Non-attached Members;The Brexit Party;United Kingdom;568143078
Ivan DAVID;MudrIvanDavid;Identity and Democracy Group;Svoboda a přímá demokracie;Czechia;1108425444146233345
Chris DAVIES;ChrisDaviesEU;Renew Europe Group;Liberal Democrats;United Kingdom;95631693
Paolo DE CASTRO;paolodecastro;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;9234892
Jérémy DECERLE;JDecerle;Renew Europe Group;Liste Rennaisance;France;2163600808
Gwendoline DELBOS-CORFIELD;GDelbosCorfield;Group of the Greens/European Free Alliance;Europe Écologie;France;1133457388038688768
Andor DELI;AndorDeli;Group of the European People's Party (Christian Democrats);Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Hungary;4782996689
Karima DELLI;KarimaDelli;Group of the Greens/European Free Alliance;Europe Écologie;France;92233525
Belinda DE LUCY;BelindadeLucy;Non-attached Members;The Brexit Party;United Kingdom;1124345151642587136
Özlem DEMIREL;OezlemADemirel;Confederal Group of the European United Left - Nordic Green Left;DIE LINKE.;Germany;406893885
Anna DEPARNAY-GRUNENBERG;candidate_verte;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;825815009041203201
Petra DE SUTTER;pdsutter;Group of the Greens/European Free Alliance;Groen;Belgium;329815445
Tamás DEUTSCH;dajcstomi;Group of the European People's Party (Christian Democrats);Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Hungary;262298210
Dinesh DHAMIJA;dinesh_dhamija;Renew Europe Group;Liberal Democrats;United Kingdom;234695455
Geoffroy DIDIER;GeoffroyDidier;Group of the European People's Party (Christian Democrats);Les Républicains;France;463907386
Martina DLABAJOVÁ;Mdlabajova;Renew Europe Group;ANO 2011;Czechia;43505930
Diane DODDS;DianeDoddsMEP;Non-attached Members;Democratic Unionist Party;United Kingdom;322529131
Christian Konrad DOLESCHAL;Doleschal;Group of the European People's Party (Christian Democrats);Christlich-Soziale Union in Bayern e.V.;Germany;17782837
Anna Julia DONÁTH;donath_anna;Renew Europe Group;Momentum;Hungary;1098198745810984960
Francesca DONATO;ladyonorato;Identity and Democracy Group;Lega;Italy;849274159
Herbert DORFMANN;HerbertDorfmann;Group of the European People's Party (Christian Democrats);Südtiroler Volkspartei;Italy;479390782
Gina DOWDING;GinaDowdingMEP;Group of the Greens/European Free Alliance;Green Party;United Kingdom;103819197
Marco DREOSTO;MarcoDreosto;Identity and Democracy Group;Lega;Italy;490522414
Jarosław DUDA;JaroslawDuda;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;358014007
Pascal DURAND;PDurandOfficiel;Renew Europe Group;Liste Rennaisance;France;404894090
Lucia ĎURIŠ NICHOLSONOVÁ;LNicholsonova;European Conservatives and Reformists Group;Sloboda a Solidarita;Slovakia;809481991242584064
Angel DZHAMBAZKI;djambazki;European Conservatives and Reformists Group;VMRO;Bulgaria;594798146
Karoline EDTSTADLER;k_edtstadler;Group of the European People's Party (Christian Democrats);Österreichische Volkspartei;Austria;948147368918208512
Bas EICKHOUT;BasEickhout;Group of the Greens/European Free Alliance;GroenLinks;Netherlands;19763668
Andrew ENGLAND KERR;englandkerrmep;Non-attached Members;The Brexit Party;United Kingdom;1132968185727246336
Derk Jan EPPINK;djeppink;European Conservatives and Reformists Group;Forum voor Democratie;Netherlands;191409618
Cornelia ERNST;ErnstCornelia;Confederal Group of the European United Left - Nordic Green Left;DIE LINKE.;Germany;1225229076
Engin EROGLU;EnginEroglu_FW;Renew Europe Group;Freie Wähler;Germany;940691491835564033
Ismail ERTUG;IsmailErtug;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;578240398
Jill EVANS;JillEvansMEP;Group of the Greens/European Free Alliance;Plaid Cymru - Party of Wales;United Kingdom;93709885
Eleonora EVI;EleonoraEvi;Non-attached Members;Movimento 5 Stelle;Italy;1135141640
Agnès EVREN;AgnesEvren;Group of the European People's Party (Christian Democrats);Les Républicains;France;528558611
Tanja FAJON;tfajon;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Socialni demokrati;Slovenia;102918775
Nigel FARAGE;Nigel_Farage;Non-attached Members;The Brexit Party;United Kingdom;19017675
Laurence FARRENG;laurencefarreng;Renew Europe Group;Mouvement Démocrate;France;298525921
Fredrick FEDERLEY;federley;Renew Europe Group;Centerpartiet;Sweden;18901336
Markus FERBER;MarkusFerber;Group of the European People's Party (Christian Democrats);Christlich-Soziale Union in Bayern e.V.;Germany;1949513514
José Manuel FERNANDES;JMFernandesEU;Group of the European People's Party (Christian Democrats);Partido Social Democrata;Portugal;2785158383
Jonás FERNÁNDEZ;jonasfernandez;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;15061445
Giuseppe FERRANDINO;giosiferrandino;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;402097529
Laura FERRARA;LFerraraM5S;Non-attached Members;Movimento 5 Stelle;Italy;2424047370
João FERREIRA;joao_ferreira33;Confederal Group of the European United Left - Nordic Green Left;Partido Comunista Português;Portugal;951055588330475520
Nicolaus FEST;Nicolaus_Fest;Identity and Democracy Group;Alternative für Deutschland;Germany;773419555729379329
Carlo FIDANZA;FidanzaCarlo;European Conservatives and Reformists Group;Fratelli d'Italia;Italy;76596562
Pietro FIOCCHI;FiocchiPietro;European Conservatives and Reformists Group;Fratelli d'Italia;Italy;1105850644966137856
Raffaele FITTO;RaffaeleFitto;European Conservatives and Reformists Group;Fratelli d'Italia;Italy;702661167
Frances FITZGERALD;FitzgeraldFrncs;Group of the European People's Party (Christian Democrats);Fine Gael Party;Ireland;111338251
Luke Ming FLANAGAN;lukeming;Confederal Group of the European United Left - Nordic Green Left;Independent;Ireland;54172831
Valter FLEGO;ValterFlego;Renew Europe Group;Istarski demokratski sabor - Dieta democratica istriana;Croatia;1021696411
Lance FORMAN;LanceForman;Non-attached Members;The Brexit Party;United Kingdom;757537572
Anna FOTYGA;AnnaFotyga_PE;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;1121707380591538176
Loucas FOURLAS;loucas_fourlas;Group of the European People's Party (Christian Democrats);Democratic Rally;Cyprus;2986671080
Claire FOX;Fox_Claire;Non-attached Members;The Brexit Party;United Kingdom;278656915
Tomasz FRANKOWSKI;TFrankowski21;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;1109154121171517441
Cindy FRANSSEN;FranssenCindy;Group of the European People's Party (Christian Democrats);Christen-Democratisch & Vlaams;Belgium;311025549
Romeo FRANZ;RomeoFranz1;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;850600969184436224
Daniel FREUND;daniel_freund;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;306868006
Niels FUGLSANG;NielsFuglsang;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Socialdemokratiet;Denmark;323111954
Mario FURORE;MarioFurore;Non-attached Members;Movimento 5 Stelle;Italy;106548241
Søren Gade GADE;SoerenGade;Renew Europe Group;Venstre, Danmarks Liberale Parti;Denmark;975064362359623680
Michael GAHLER;michaelgahler;Group of the European People's Party (Christian Democrats);Christlich Demokratische Union Deutschlands;Germany;102642856
Kinga GÁL;1D5Kinga;Group of the European People's Party (Christian Democrats);Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Hungary;782949708
Lina GALVEZ MUÑOZ;linagalvezmunoz;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;337259737
Claudia GAMON;dieGamon;Renew Europe Group;NEOS – Das Neue Österreich;Austria;37776042
Gianna GANCIA;giannagancia;Identity and Democracy Group;Lega;Italy;492977249
Ibán GARCIA DEL BLANCO;Ibangarciadb;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;222269705
José Manuel GARCÍA-MARGALLO Y MARFIL;MargalloJm;Group of the European People's Party (Christian Democrats);Partido Popular;Spain;862981072417677314
Iratxe GARCÍA PÉREZ;IratxeGarper;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;900231078
Eider GARDIAZABAL RUBIAL;EGardiazabal;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;582076945
Luis GARICANO;lugaricano;Renew Europe Group;Ciudadanos – Partido de la Ciudadanía;Spain;117773253
Jean-Paul GARRAUD;JPGarraud;Identity and Democracy Group;Rassemblement national;France;92795265
Alexandra GEESE;alexandra_geese;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;1019949632108064768
Jens GEIER;EuropaJens;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;36347303
