name;twitter_name;group;natparty;country;twitter_id
Chiara GEMMA;chgemma68;Non-attached Members;Movimento 5 Stelle;Italy;1118800711289122818
Cristian GHINEA;GhineaMEP;Renew Europe Group;USR-PLUS;Romania;1139525086233452544
Dino GIARRUSSO;DinoGiarrusso;Non-attached Members;Movimento 5 Stelle;Italy;114332714
Barbara Ann GIBSON;Barb_G;Renew Europe Group;Liberal Democrats;United Kingdom;1998841
Sven GIEGOLD;sven_giegold;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;16705726
Neena GILL;NeenaGmep;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Labour Party;United Kingdom;1374683634
Nathan GILL;NathanGillMEP;Non-attached Members;The Brexit Party;United Kingdom;1668992125
Andreas GLÜCK;Andi_Glueck;Renew Europe Group;Freie Demokratische Partei;Germany;1145986626503479296
Raphaël GLUCKSMANN;rglucks1;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Place publique;France;2967623435
Charles GOERENS;CharlesGoerens;Renew Europe Group;Parti démocratique;Luxembourg;606349480
Mónica Silvana GONZÁLEZ;MonicaSilvanaG;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;290206732
Nicolás GONZALEZ CASARES;nicogoncas;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;10622932
Esteban GONZÁLEZ PONS;gonzalezpons;Group of the European People's Party (Christian Democrats);Partido Popular;Spain;106231214
Valentino GRANT;ValentinoGrant4;Identity and Democracy Group;Lega;Italy;868890764440461312
Maria GRAPINI;MariaGrapini;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partidul Social Democrat;Romania;4706135422
Markéta GREGOROVÁ;MarketkaG;Group of the Greens/European Free Alliance;PIRÁTI;Czechia;83926605
Theresa GRIFFIN;TheresaMEP;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Labour Party;United Kingdom;829060856
Catherine GRISET;GrisetCatherine;Identity and Democracy Group;Rassemblement national;France;1090919392840503296
Klemen GROŠELJ;KGroselj;Renew Europe Group;Lista Marjana Šarca;Slovenia;2373445755
Christophe GRUDLER;GrudlerCh;Renew Europe Group;Mouvement Démocrate;France;457528606
Elisabetta GUALMINI;gualminielisa;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;372352619
Roberto GUALTIERI;gualtierieurope;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;103152299
Sylvie GUILLAUME;sylvieguillaume;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Parti socialiste;France;167328296
José GUSMÃO;joseggusmao;Confederal Group of the European United Left - Nordic Green Left;Bloco de Esquerda;Portugal;268208070
Jytte GUTELAND;JytteGuteland;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Arbetarepartiet- Socialdemokraterna;Sweden;24181511
Márton GYÖNGYÖSI;GyongyosiMarton;Non-attached Members;Jobbik Magyarországért Mozgalom;Hungary;1063031341846093824
Ben HABIB;benhabib6;Non-attached Members;The Brexit Party;United Kingdom;2790295109
Svenja HAHN;svenja_hahn;Renew Europe Group;Freie Demokratische Partei;Germany;1124773536
Henrike Nanna Gisela HAHN;henrikehahn;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;1601699341
Robert HAJŠEL;RobertHajsel;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;SMER-Sociálna demokracia;Slovakia;1136943210763300864
Andrzej HALICKI;AndrzejHalicki;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;993849096
Daniel HANNAN;DanielJHannan;European Conservatives and Reformists Group;Conservative Party;United Kingdom;85794542
Christophe HANSEN;CHansenEU;Group of the European People's Party (Christian Democrats);Parti chrétien social luxembourgeois;Luxembourg;2408020351
Lucy Elizabeth HARRIS;Lugey6;Non-attached Members;The Brexit Party;United Kingdom;58459981
Martin HÄUSLING;MartinHaeusling;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;82912952
Heidi HAUTALA;HeidiHautala;Group of the Greens/European Free Alliance;Vihreä liitto;Finland;92337227
Valerie HAYER;ValerieHayer;Renew Europe Group;La République en marche;France;3318542685
Anja HAZEKAMP;anjahazekamp;Confederal Group of the European United Left - Nordic Green Left;Partij voor de Dieren;Netherlands;146088853
Michael HEAVER;Michael_Heaver;Non-attached Members;The Brexit Party;United Kingdom;22800916
Hannes HEIDE;HannesHeide;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Österreichs;Austria;1019231126181826561
Eero HEINÄLUOMA;EeroHeinaluoma;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti;Finland;238520837
Krzysztof HETMAN;Hetman_K;Group of the European People's Party (Christian Democrats);Polskie Stronnictwo Ludowe;Poland;747764682459582465
Monika HOHLMEIER;MHohlmeier;Group of the European People's Party (Christian Democrats);Christlich-Soziale Union in Bayern e.V.;Germany;2904048473
Martin HOJSÍK;mhojsik;Renew Europe Group;Progresívne Slovensko;Slovakia;54799415
Pär HOLMGREN;ParHolmgren;Group of the Greens/European Free Alliance;Miljöpartiet de gröna;Sweden;95989483
György HÖLVÉNYI;HolvenyiGyorgy;Group of the European People's Party (Christian Democrats);Kereszténydemokrata Néppárt;Hungary;842047050577502209
Alicia HOMS GINEL;aliciahoms;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;3019838428
Antony HOOK;favershamfocus;Renew Europe Group;Liberal Democrats;United Kingdom;765136710263070720
Brice HORTEFEUX;BriceHortefeux;Group of the European People's Party (Christian Democrats);Les Républicains;France;2445174992
Martin HORWOOD;MartinChelt;Renew Europe Group;Liberal Democrats;United Kingdom;55059675
John HOWARTH;JohnHowarth1958;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Labour Party;United Kingdom;27688865
Danuta Maria HÜBNER;danutahuebner;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;1934463319
Laura HUHTASAARI;LauraHuhtasaari;Identity and Democracy Group;Perussuomalaiset;Finland;1606473660
Jan HUITEMA;jhuitema;Renew Europe Group;Volkspartij voor Vrijheid en Democratie;Netherlands;145297666
Ivars IJABS;ijabs;Renew Europe Group;Attīstībai/Par!;Latvia;28397950
Evin INCIR;EvinIncir;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Arbetarepartiet- Socialdemokraterna;Sweden;1113577805256773632
Sophia in 't VELD;SophieintVeld;Renew Europe Group;Democraten 66;Netherlands;19231330
Yannick JADOT;yjadot;Group of the Greens/European Free Alliance;Europe Écologie;France;117761523
Peter JAHR;peter_jahr;Group of the European People's Party (Christian Democrats);Christlich Demokratische Union Deutschlands;Germany;3119157183
Patryk JAKI;PatrykJaki;European Conservatives and Reformists Group;Solidarna Polska Zbigniewa Ziobro;Poland;101576198
France JAMET;MA_Jamet;Identity and Democracy Group;Rassemblement national;France;618892357
Lívia JÁRÓKA;JarokaLivia;Group of the European People's Party (Christian Democrats);Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Hungary;934152935340158976
Adam JARUBAS;JarubasAdam;Group of the European People's Party (Christian Democrats);Polskie Stronnictwo Ludowe;Poland;325592746
Jackie JONES;JackieJonesWal1;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Labour Party;United Kingdom;1118982945006587907
Agnes JONGERIUS;a_jongerius;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partij van de Arbeid;Netherlands;2351820624
Virginie JORON;v_joron;Identity and Democracy Group;Rassemblement national;France;2991912647
Irena JOVEVA;IJoveva;Renew Europe Group;Lista Marjana Šarca;Slovenia;377486485
Rasa JUKNEVIČIENĖ;RJukneviciene;Group of the European People's Party (Christian Democrats);Tėvynės sąjunga-Lietuvos krikščionys demokratai;Lithuania;818964552
Krzysztof JURGIEL;ministerjurgiel;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;981468706302758912
Eugen JURZYCA;EugenJurzyca;European Conservatives and Reformists Group;Sloboda a Solidarita;Slovakia;471836699
Herve JUVIN;HerveJuvin;Identity and Democracy Group;Rassemblement national;France;1074580083594199040
Eva KAILI;EvaKaili;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Panhellenic Socialist Movement - Olive Tree;Greece;33248043
Marina KALJURAND;MarinaKaljurand;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sotsiaaldemokraatlik Erakond;Estonia;601514135
Sandra KALNIETE;Kalniete;Group of the European People's Party (Christian Democrats);"Partija ""VIENOTĪBA""";Latvia;25509816
Radan KANEV;rmkanev;Group of the European People's Party (Christian Democrats);Democrats for Strong Bulgaria;Bulgaria;43869722
Assita KANKO;Assita_Kanko;European Conservatives and Reformists Group;Nieuw-Vlaamse Alliantie;Belgium;52361939
Othmar KARAS;othmar_karas;Group of the European People's Party (Christian Democrats);Österreichische Volkspartei;Austria;120109196
Pierre KARLESKIND;Pierre_Ka;Renew Europe Group;La République en marche;France;306778929
Karin KARLSBRO;KarinKarlsbro;Renew Europe Group;Liberalerna;Sweden;571148013
Karol KARSKI;profKarski;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;2455611960
Elsi KATAINEN;ElsiKatainen;Renew Europe Group;Suomen Keskusta;Finland;3017471855
Manolis KEFALOGIANNIS;M_Kefalogiannis;Group of the European People's Party (Christian Democrats);Nea Demokratia;Greece;2441261875
Billy KELLEHER;BillyKelleherEU;Renew Europe Group;Fianna Fáil Party;Ireland;524423189
Fabienne KELLER;fabienne_keller;Renew Europe Group;Agir - La Droite constructive;France;83120914
Ska KELLER;SkaKeller;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;16600393
Seán KELLY;SeanKellyMEP;Group of the European People's Party (Christian Democrats);Fine Gael Party;Ireland;21440665
Beata KEMPA;BeataKempa_KPRM;European Conservatives and Reformists Group;Solidarna Polska Zbigniewa Ziobro;Poland;4172002246
Jude KIRTON-DARLING;Jude_KD;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Labour Party;United Kingdom;28640933
Niyazi KIZILYÜREK;NKizilyurek;Confederal Group of the European United Left - Nordic Green Left;Progressive Party of Working People - Left - New Forces;Cyprus;3362323781
Izabela-Helena KLOC;IzabelaKloc;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;2462922450
Jeppe KOFOD;JeppeKofod;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Socialdemokratiet;Denmark;24909190
Peter KOFOD;KofodPeter;Identity and Democracy Group;Dansk Folkeparti;Denmark;1613378210
Łukasz KOHUT;LukaszKohut;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Wiosna;Poland;426773410
Arba KOKALARI;ArbaKokalari;Group of the European People's Party (Christian Democrats);Moderaterna;Sweden;285082743
Petros KOKKALIS;PetrosKokkalis;Confederal Group of the European United Left - Nordic Green Left;Coalition of the Radical Left;Greece;123834148
Marcel KOLAJA;PiratKolaja;Group of the Greens/European Free Alliance;PIRÁTI;Czechia;1086646510723444737
Ewa KOPACZ;EwaKopacz;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;110963318
Moritz KÖRNER;moritzkoerner;Renew Europe Group;Freie Demokratische Partei;Germany;21794101
Ádám KÓSA;adamkosamep;Group of the European People's Party (Christian Democrats);Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Hungary;85184055
Stelios KOULOGLOU;SteliosKoul;Confederal Group of the European United Left - Nordic Green Left;Coalition of the Radical Left;Greece;136333369
Elena KOUNTOURA;ElenaKountoura;Confederal Group of the European United Left - Nordic Green Left;Coalition of the Radical Left;Greece;424164598
Andrey KOVATCHEV;andreykovatchev;Group of the European People's Party (Christian Democrats);Citizens for European Development of Bulgaria;Bulgaria;189082017
Maximilian KRAH;KrahMax;Identity and Democracy Group;Alternative für Deutschland;Germany;1162901370
Zdzisław KRASNODĘBSKI;ZdzKrasnodebski;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;539156512
Constanze KREHL;ConstanzeKrehl;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;2373681362
Andrius KUBILIUS;AndriusKubilius;Group of the European People's Party (Christian Democrats);Tėvynės sąjunga-Lietuvos krikščionys demokratai;Lithuania;358046297
Joachim KUHS;Joachim_Kuhs;Identity and Democracy Group;Alternative für Deutschland;Germany;968551492390129666
Miapetra KUMPULA-NATRI;miapetrakumpula;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti;Finland;195681218
Zbigniew KUŹMIUK;ZbigniewKuzmiuk;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;357514379
Stelios KYMPOUROPOULOS;Kympouropoulos;Group of the European People's Party (Christian Democrats);Nea Demokratia;Greece;585477047
Georgios KYRTSOS;GiorgosKyrtsos;Group of the European People's Party (Christian Democrats);Nea Demokratia;Greece;311951299
Ilhan KYUCHYUK;ilhankyuchyuk;Renew Europe Group;Movement for Rights and Freedoms;Bulgaria;2425184299
Sergey LAGODINSKY;SLagodinsky;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;436470131
Aurore LALUCQ;AuroreLalucq;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Place publique;France;938522598585131008
Philippe LAMBERTS;ph_lamberts;Group of the Greens/European Free Alliance;Ecologistes Confédérés pour l'Organisation de Luttes Originales;Belgium;165786404
Oscar LANCINI;DOscarLancini;Identity and Democracy Group;Lega;Italy;714899456
Bernd LANGE;berndlange;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;17576181
Esther de LANGE;Esther_de_Lange;Group of the European People's Party (Christian Democrats);Christen Democratisch Appèl;Netherlands;28773799
Hélène LAPORTE;HeleneLaporteRN;Identity and Democracy Group;Rassemblement national;France;789179329854869507
Pierre LARROUTUROU;larrouturou;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Nouvelle Donne;France;18578222
Gilles LEBRETON;Gilles_Lebreton;Identity and Democracy Group;Rassemblement national;France;2463325740
Julie LECHANTEUX;JLechanteux;Identity and Democracy Group;Rassemblement national;France;2909481429
David LEGA;DavidLega;Group of the European People's Party (Christian Democrats);Kristdemokraterna;Sweden;17006679
Maria Manuel LEITÃO MARQUES;MariaManuelLM;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista;Portugal;368570542
Jeroen LENAERS;jeroen_lenaers;Group of the European People's Party (Christian Democrats);Christen Democratisch Appèl;Netherlands;399991392
Janusz LEWANDOWSKI;J_Lewandowski;Group of the European People's Party (Christian Democrats);Independent;Poland;146101077
Bogusław LIBERADZKI;BLiberadzki;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Independent;Poland;714000438
Peter LIESE;peterliese;Group of the European People's Party (Christian Democrats);Christlich Demokratische Union Deutschlands;Germany;42590805
Sylvia LIMMER;Dr_SylviaLimmer;Identity and Democracy Group;Alternative für Deutschland;Germany;3325406044
Elena LIZZI;elenalizzi;Identity and Democracy Group;Lega;Italy;1125768066
Nathalie LOISEAU;NathalieLoiseau;Renew Europe Group;La République en marche;France;21694393
Morten LØKKEGAARD;Loekkegaard_MEP;Renew Europe Group;Venstre, Danmarks Liberale Parti;Denmark;88184493
Naomi LONG;naomi_long;Renew Europe Group;Alliance Party of Northern Ireland;United Kingdom;97452095
John LONGWORTH;john4brexit;Non-attached Members;The Brexit Party;United Kingdom;714854344454238208
Javi LÓPEZ;fjavilopez;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partit dels Socialistes de Catalunya;Spain;153388751
Juan Fernando LÓPEZ AGUILAR;JFLopezAguilar;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;449951300
Leopoldo LÓPEZ GIL;LeopoldoLopezG;Group of the European People's Party (Christian Democrats);Partido Popular;Spain;966589602
Antonio LÓPEZ-ISTÚRIZ WHITE;TonoEPP;Group of the European People's Party (Christian Democrats);Partido Popular;Spain;119434647
Rupert LOWE;RupertLowe10;Non-attached Members;The Brexit Party;United Kingdom;1121375429884039175
César LUENA;cesarluena;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;163029352
Elżbieta Katarzyna ŁUKACIJEWSKA;elukacijewska;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;3302560545
Benoît LUTGEN;BenoitLutgen;Group of the European People's Party (Christian Democrats);Centre Démocrate Humaniste;Belgium;825427526344441857
David McALLISTER;davidmcallister;Group of the European People's Party (Christian Democrats);Christlich Demokratische Union Deutschlands;Germany;17621447
Mairead McGUINNESS;MaireadMcGMEP;Group of the European People's Party (Christian Democrats);Fine Gael Party;Ireland;166102184
Anthea McINTYRE;anthea_mcintyre;European Conservatives and Reformists Group;Conservative Party;United Kingdom;1536804174
Aileen McLEOD;AileenMcLeodSNP;Group of the Greens/European Free Alliance;Scottish National Party;United Kingdom;1114920226393612288
Jaak MADISON;JaakMadison;Identity and Democracy Group;Eesti Konservatiivne Rahvaerakond;Estonia;2311916178
Cristina MAESTRE MARTÍN DE ALMAGRO;crismaestre;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;110695283
Magid MAGID;MagicMagid;Group of the Greens/European Free Alliance;Green Party;United Kingdom;28257421
Aušra MALDEIKIENĖ;maldeikiene;Group of the European People's Party (Christian Democrats);Independent;Lithuania;1141647835189977088
Adriana MALDONADO LÓPEZ;_AMaldonado_;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista Obrero Español;Spain;380234100
Claudiu MANDA;Claudiu_Manda;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partidul Social Democrat;Romania;158287631
Lukas MANDL;lukasmandl;Group of the European People's Party (Christian Democrats);Österreichische Volkspartei;Austria;56818265
Thierry MARIANI;ThierryMARIANI;Identity and Democracy Group;Rassemblement national;France;87212906
Marian-Jean MARINESCU;MarianMarinescu;Group of the European People's Party (Christian Democrats);Partidul Naţional Liberal;Romania;90014101
Erik MARQUARDT;ErikMarquardt;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;149441850
L-Onor. Margarida MARQUES;mmargmarques;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista;Portugal;718106057416052741
Pedro MARQUES;pmdjmarques;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partido Socialista;Portugal;1096808124135235585
Fulvio MARTUSCIELLO;fulviomartuscie;Group of the European People's Party (Christian Democrats);Forza Italia;Italy;813738259
Marisa MATIAS;mmatias_;Confederal Group of the European United Left - Nordic Green Left;Bloco de Esquerda;Portugal;948552829
Predrag Fred MATIĆ;fred_matic;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Socijaldemokratska partija Hrvatske;Croatia;1110460054392791040
Emmanuel MAUREL;emmanuelmaurel;Confederal Group of the European United Left - Nordic Green Left;La France Insoumise;France;66691158
Costas MAVRIDES;MavridesCostas;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Democratic Party;Cyprus;3842013736
Radka MAXOVÁ;radkamaxova;Renew Europe Group;ANO 2011;Czechia;2242356686
Eva MAYDELL;EvaMaydell;Group of the European People's Party (Christian Democrats);Citizens for European Development of Bulgaria;Bulgaria;2472445567
Georg MAYER;georgmayermep;Identity and Democracy Group;Freiheitliche Partei Österreichs;Austria;2821282972
Beata MAZUREK;beatamk;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;1118740158
Karen MELCHIOR;karmel80;Renew Europe Group;Det Radikale Venstre;Denmark;16936237
Joëlle MÉLIN;JoelleMelinRN;Identity and Democracy Group;Rassemblement national;France;2362654915
Nuno MELO;NunoMeloCDS;Group of the European People's Party (Christian Democrats);Partido do Centro Democrático Social-Partido Popular;Portugal;2858866479
Roberta METSOLA;RobertaMetsola;Group of the European People's Party (Christian Democrats);Partit Nazzjonalista;Malta;55031092
Jörg MEUTHEN;Joerg_Meuthen;Identity and Democracy Group;Alternative für Deutschland;Germany;710201540116652033
Martina MICHELS;martina_michels;Confederal Group of the European United Left - Nordic Green Left;DIE LINKE.;Germany;3292756634
Iskra MIHAYLOVA;Iskra_Mihaylova;Renew Europe Group;Movement for Rights and Freedoms;Bulgaria;831199595011137538
Sven MIKSER;svenmikser;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sotsiaaldemokraatlik Erakond;Estonia;233515767
Giuseppe MILAZZO;giuseppemilaz11;Group of the European People's Party (Christian Democrats);Forza Italia;Italy;614509863
Leszek MILLER;LeszekMiller;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sojusz Lewicy Demokratycznej;Poland;897947522
Baroness Nosheena MOBARIK;NosheenaMobarik;European Conservatives and Reformists Group;Conservative Party;United Kingdom;930742277739352064
Silvia MODIG;silviamodig;Confederal Group of the European United Left - Nordic Green Left;Vasemmistoliitto;Finland;87206214
Shaffaq MOHAMMED;shaffaqmohd;Renew Europe Group;Liberal Democrats;United Kingdom;529961793
Cláudia MONTEIRO DE AGUIAR;cmonteiroaguiar;Group of the European People's Party (Christian Democrats);Partido Social Democrata;Portugal;239860130
Brian MONTEITH;TheBluetrot;Non-attached Members;The Brexit Party;United Kingdom;620893984
Dolors MONTSERRAT;DolorsMM;Group of the European People's Party (Christian Democrats);Partido Popular;Spain;283559538
Claude MORAES;Claude_Moraes;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Labour Party;United Kingdom;819843415
Nadine MORANO;nadine__morano;Group of the European People's Party (Christian Democrats);Les Républicains;France;413839619
Alessandra MORETTI;ale_moretti;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;540895773
Marlene MORTLER;MimiMortler;Group of the European People's Party (Christian Democrats);Christlich-Soziale Union in Bayern e.V.;Germany;861712643689676801
Dan-Ștefan MOTREANU;Dan_Motreanu;Group of the European People's Party (Christian Democrats);Partidul Naţional Liberal;Romania;2763652310
Ulrike MÜLLER;UliMuellerMdEP;Renew Europe Group;Freie Wähler;Germany;612717643
June Alison MUMMERY;june_mummery;Non-attached Members;The Brexit Party;United Kingdom;1085967618446643200
Siegfried MUREŞAN;SMuresan;Group of the European People's Party (Christian Democrats);Partidul Naţional Liberal;Romania;49950808
Caroline NAGTEGAAL;C_Nagtegaal;Renew Europe Group;Volkspartij voor Vrijheid en Democratie;Netherlands;38472446
Lucy NETHSINGHA;LNethsingha;Renew Europe Group;Liberal Democrats;United Kingdom;1551071150
Hannah NEUMANN;Hannah_LBerg;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;828566340365643776
Bill NEWTON DUNN;billnewtondunn;Renew Europe Group;Liberal Democrats;United Kingdom;34705879
Angelika NIEBLER;ANiebler;Group of the European People's Party (Christian Democrats);Christlich-Soziale Union in Bayern e.V.;Germany;886420428
Luděk NIEDERMAYER;LudekNie;Group of the European People's Party (Christian Democrats);TOP 09 a Starostové;Czechia;2815744853
Niklas NIENASS;nnienass;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;147947516
Ville NIINISTÖ;VilleNiinisto;Group of the Greens/European Free Alliance;Vihreä liitto;Finland;333954467
Maria NOICHL;MariaNoichl;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;1070701588598218752
Ljudmila NOVAK;LjudmilaNovak;Group of the European People's Party (Christian Democrats);Nova Slovenija – Krščanski demokrati;Slovenia;514541450
Andrey NOVAKOV;AndreyNovakov;Group of the European People's Party (Christian Democrats);Citizens for European Development of Bulgaria;Bulgaria;1704818077
Grace O'SULLIVAN;GraceOSllvn;Group of the Greens/European Free Alliance;Green Party;Ireland;2281217988
Janina OCHOJSKA;JaninaOchojska;Group of the European People's Party (Christian Democrats);Bezpartyjna;Poland;2200120927
Jan-Christoph OETJEN;jcoetjen;Renew Europe Group;Freie Demokratische Partei;Germany;370708213
Jan OLBRYCHT;JanOlbrycht;Group of the European People's Party (Christian Democrats);Platforma Obywatelska;Poland;628396879
Philippe OLIVIER;PhOlivierRN;Identity and Democracy Group;Rassemblement national;France;1121349820747264000
